gene,spearman_r,p_value,n_samples
S100A2,0.9742,8.775482300432549e-29,44
IGF2BP3,0.9715,7.174968373666039e-28,44
MAP1B,0.9703,1.6794179532082547e-27,44
FAM83B,0.9689,4.288580644350416e-27,44
PCP4L1,0.9685,5.4063639387647915e-27,44
PTPRZ1,0.9676,9.804553878731392e-27,44
LYPD3,0.9663,2.2130025211521595e-26,44
EIF1AY,0.9661,2.5405417767195507e-26,44
ADAM23,0.966,1.3800690167447252e-18,31
PKP1,0.9638,9.74433895778232e-26,44
GBP6,0.9625,2.0188458884557217e-25,44
DDX3Y,0.9615,3.4501816488936904e-25,44
GCLC,0.9607,5.32221629091269e-25,44
FBXO2,0.9606,5.730031579138556e-25,44
CALML3,0.9604,6.258924204784852e-25,44
IGF2BP2,0.96,7.523567008368517e-25,44
CSTA,0.9587,1.4837924072254583e-24,44
FERMT1,0.9585,1.618600551584851e-24,44
SFN,0.9584,1.706963333872515e-24,44
RAB6B,0.9578,2.3700652819647352e-24,44
LAX1,0.9572,3.0635844619483367e-24,44
CA12,0.9567,4.022687647042826e-24,44
PIR,0.9566,4.075760361917581e-24,44
SERPINB5,0.9566,4.0816663050783566e-24,44
ASS1,0.9566,4.147437930679161e-24,44
PLA2G4A,0.9565,4.369745762459586e-24,44
IFIH1,0.9564,4.4335000599222405e-24,44
CTTN,0.9556,6.473749088620586e-24,44
DOCK8,0.9549,9.270905627386633e-24,44
NRCAM,0.954,1.357782423523319e-23,44
AFAP1L2,0.9532,1.9687778806333115e-23,44
ALCAM,0.9531,2.0393592364190395e-23,44
PCDH7,0.9528,2.2965258661982046e-23,44
CBR1,0.9522,3.025490467327669e-23,44
FSCN1,0.9519,3.4086485019228134e-23,44
PGD,0.9517,3.6770152229303897e-23,44
PRKCQ,0.9516,3.915079200508646e-23,44
FGFBP1,0.9515,3.959673886426217e-23,44
EDARADD,0.9512,4.536874001718706e-23,44
KIAA1324,0.9512,4.52378613438729e-23,44
IFIT3,0.9512,4.5303296208073985e-23,44
FAT2,0.9512,4.52378613438729e-23,44
COL11A1,0.9504,6.536615097663171e-23,44
NDUFA4L2,0.9502,6.823205199466727e-23,44
PPP1R14C,0.9496,8.727882385376831e-23,44
CERS3,0.9481,1.6015879742342813e-22,44
PAPSS2,0.948,1.6734402931617368e-22,44
COL17A1,0.9476,1.9728129568610636e-22,44
CORO2A,0.9476,2.0016156567807117e-22,44
PCYT1B,0.9473,7.12169013285813e-17,33
DHX36,0.9471,2.366410599916721e-22,44
SERPINB4,0.9468,2.665240153583925e-22,44
SLC9A3R1,0.9466,2.932314291668182e-22,44
TRPS1,0.9466,2.932314291668182e-22,44
PALMD,0.9463,3.307753826093914e-22,44
SLC20A2,0.9463,3.307753826093914e-22,44
MPPED2,0.9461,9.653942434819036e-09,17
ACAP1,0.9452,4.867506763832371e-22,44
CLIC6,0.9447,6.011118918007341e-22,44
KLRG2,0.9447,5.839541079160442e-22,44
RBP1,0.9447,5.839541079160442e-22,44
DAB2,0.9439,8.11113830793157e-22,44
OAS3,0.9432,1.0314091318311836e-21,44
MZB1,0.9427,1.2290567298660095e-21,44
NIBAN2,0.9422,1.4791671801179702e-21,44
PROSER2,0.942,1.5778517826718486e-21,44
IKZF1,0.9416,1.8065468153688045e-21,44
SERPINB2,0.9415,1.8977476256262352e-21,44
MAP1A,0.9406,2.547389618432286e-21,44
ADH7,0.9402,2.9072086695760976e-21,44
ARHGEF16,0.94,3.200318518074285e-21,44
PFKP,0.9398,3.3244544856474648e-21,44
TMPRSS11E,0.9398,1.7732265961409364e-16,34
UCHL1,0.9397,3.482109165333637e-21,44
VLDLR,0.9396,3.646816626697908e-21,44
PC,0.9396,3.652059523619862e-21,44
DSG3,0.9395,3.68780407408705e-21,44
NUDT7,0.9394,5.4840529985136686e-05,10
LAMC2,0.9394,3.867241897191753e-21,44
XPO5,0.9393,3.971433154959307e-21,44
POF1B,0.9393,4.010109317649081e-21,44
CD8A,0.9392,4.106160926539181e-21,44
F3,0.9391,4.3110441245481645e-21,44
IGFBP2,0.9391,4.304856640565534e-21,44
ANO1,0.9383,5.632629646014252e-21,44
ACSS1,0.9383,5.6488268697122785e-21,44
LRMP,0.9383,5.510849863266217e-21,44
OSBPL3,0.9381,5.853585900716149e-21,44
OAS2,0.9381,6.048019392329402e-21,44
CRABP2,0.9381,5.982543784488471e-21,44
PTHLH,0.9378,4.811505412603939e-19,40
SMPDL3B,0.9376,7.109677591456272e-21,44
MX1,0.9374,7.444105093778313e-21,44
TRIM29,0.9374,7.433424003096945e-21,44
B4GALNT1,0.9371,6.9931649532105415e-06,12
DIP2B,0.9371,8.169996351310112e-21,44
EHBP1,0.9371,8.193431105940878e-21,44
TSPYL5,0.9371,8.158286846556634e-21,44
SOX2,0.937,8.52706964338315e-21,44
HELLS,0.9367,9.466134661664229e-21,44
A2ML1,0.9367,9.339242380247133e-21,44
CES1,0.9364,1.0239191302393695e-20,44
CPLX1,0.9364,2.2082076449177507e-05,11
DOCK2,0.936,1.1580864428530115e-20,44
UGDH,0.936,1.1614114955871331e-20,44
PLCH2,0.9357,8.781221573887677e-19,40
NDRG2,0.9353,1.4649025789582296e-20,44
RHBDL2,0.9353,1.765596483459885e-10,22
EYA2,0.9353,1.4821142098475236e-09,20
G6PD,0.935,1.6028012407167183e-20,44
STAP2,0.9344,1.9278838987149284e-20,44
AHNAK2,0.9342,2.058420525475534e-20,44
AKR1C3,0.9339,2.2684333435124714e-20,44
AKT3,0.9336,2.502248813805749e-20,44
IFIT2,0.9331,2.937963289042191e-20,44
BIN2,0.933,2.980225062612639e-20,44
C15orf48,0.9329,3.0359485769839506e-20,44
ITGB6,0.9325,3.5239861028098544e-20,44
RAB3B,0.9325,2.7288455922756286e-19,42
PODXL2,0.9324,1.451754439048121e-07,16
BLNK,0.9321,3.961595346611601e-20,44
MAPRE3,0.932,4.0179166288257104e-20,44
TP63,0.9318,4.261441625090337e-20,44
FAM110C,0.9318,3.31915845033462e-19,42
UBXN10,0.9317,1.0429359329413034e-05,12
GRHL1,0.9311,5.318228379633699e-20,44
ERICH5,0.9308,2.610581573401385e-17,38
FAM83F,0.9306,6.147517227235246e-20,44
DSC3,0.9306,6.07139194159242e-20,44
GSDME,0.9304,6.396974981763521e-20,44
ANXA8,0.9304,6.520592718268906e-20,44
SLFN11,0.9302,6.813480913592623e-20,44
GJA1,0.9302,6.823219676884754e-20,44
SERPINE2,0.9301,1.1702227928659685e-05,12
CARMIL1,0.93,7.314565220736132e-20,44
SERPINB3,0.93,7.30411274184934e-20,44
INPP1,0.9297,7.850451155024592e-20,44
ISG15,0.9295,8.423413803187966e-20,44
EPS8L1,0.9294,8.70221061583999e-20,44
NLE1,0.9291,9.551415682929095e-20,44
CCDC88C,0.9291,9.421860933019227e-20,44
CRABP1,0.9285,1.1049415559982678e-19,44
NTRK2,0.9285,1.1337240863324771e-19,44
PKP3,0.9284,1.1410344778042498e-19,44
UBXN7,0.9281,1.2472523650615618e-19,44
GPX2,0.928,1.297822586521443e-19,44
ANXA8L1,0.928,1.2722990753893716e-19,44
CARD11,0.9276,1.432897497158292e-19,44
PCYT1A,0.9274,1.5042621441527526e-19,44
FAS,0.9271,1.6422197458649762e-19,44
PDLIM1,0.927,1.6972618319041132e-19,44
GSTM2,0.9267,1.832661582360827e-19,44
ARHGEF26,0.9262,2.1377845552758503e-19,44
PKP2,0.9262,2.105783585442127e-19,44
GSTA4,0.9262,2.0967927859619108e-19,44
ALDH7A1,0.926,2.245218427132185e-19,44
GPC1,0.9255,2.542536144799159e-19,44
STRBP,0.9255,2.549799513424574e-19,44
NGFR,0.9253,2.7448704145368107e-19,44
AKAP1,0.925,2.966649058795864e-19,44
ABCC5,0.925,2.962420104668674e-19,44
NECTIN4,0.9249,2.9928708844502766e-19,44
CLCA2,0.9249,3.045967177526975e-19,44
CLMN,0.9247,3.172882856007456e-19,44
MAP3K5,0.9246,3.2474428774937526e-19,44
PITX1,0.9246,2.317269984024044e-18,42
FYB1,0.9245,3.3878544849578917e-19,44
WDHD1,0.9244,3.4175794724144587e-19,44
CRYBG1,0.9243,3.5182509981436547e-19,44
GRB7,0.9242,3.6853205618792547e-19,44
DOCK10,0.9242,3.621738022104397e-19,44
CGN,0.9241,3.78805906391975e-19,44
RIN1,0.9241,3.7334264552954953e-19,44
ULBP2,0.924,1.1844905443995688e-07,17
PTGES,0.9235,1.1499022898895823e-18,43
KRT17,0.9235,4.438104215148399e-19,44
C19orf33,0.9235,4.400060389427047e-19,44
NDRG1,0.9234,4.482846289745419e-19,44
SCML2,0.9234,4.528017883794735e-19,44
VWA5A,0.9231,4.926438805898249e-19,44
GSTM3,0.9229,5.156224638578588e-19,44
ALDH1A1,0.9228,5.297419001113345e-19,44
HIP1R,0.9227,5.403829643100111e-19,44
GALE,0.9226,5.598826511298158e-19,44
CBR3,0.9225,5.751461637286159e-19,44
RAB11FIP1,0.9224,5.874895348825849e-19,44
CYP4X1,0.9223,6.026077354023655e-19,44
LPXN,0.9219,6.678526088982987e-19,44
RBM47,0.9213,7.789220743440666e-19,44
RAB25,0.9211,8.22351540937557e-19,44
ZC3HAV1L,0.921,8.513570848914131e-19,44
CELF2,0.9206,9.405265452707093e-19,44
NKRF,0.9204,9.938582528634398e-19,44
PUS7,0.9203,9.966870760368026e-19,44
BLMH,0.9202,1.0300199280875947e-18,44
ME1,0.9202,1.0370377055316818e-18,44
ABCC1,0.9202,1.0370377055316818e-18,44
CRKL,0.9201,1.0560335081180934e-18,44
MISP,0.92,1.0939874264279557e-18,44
CEACAM7,0.9198,1.4270281707405151e-09,22
LMOD1,0.9195,1.2386249184650746e-18,44
BAIAP2L1,0.9194,1.2522907794669594e-18,44
MTCL1,0.9193,1.3078687574895437e-18,44
ENPP1,0.9192,1.3292335950054534e-18,44
GIMAP7,0.9191,1.376861695264846e-18,44
GPNMB,0.919,1.4012784069733527e-18,44
KRT8,0.9188,1.4833268648041949e-18,44
GCLM,0.9185,1.5885649134664117e-18,44
CD109,0.9183,1.6426283401209036e-18,44
RASSF6,0.9182,7.272118932044366e-17,40
KLK8,0.9182,6.661451941355569e-05,11
KRT7,0.918,1.8035967519463254e-18,44
TBC1D10C,0.918,1.775096667927014e-18,44
RAB7B,0.9176,1.9878705882495484e-18,44
GDA,0.9175,1.320701270091239e-17,42
APOL6,0.9169,4.291382788015009e-13,31
LIG3,0.9168,2.408027927356384e-18,44
KIAA0513,0.9167,2.4652599224786983e-18,44
PTGR1,0.9166,2.5273492700984994e-18,44
GBP4,0.9163,2.6843671615005916e-18,44
HSPB1,0.9163,2.7264756867485564e-18,44
TACC2,0.916,2.9404034326105514e-18,44
MAP2,0.9159,2.994777562546369e-18,44
LDLRAP1,0.9159,2.975906145568867e-18,44
DDX60,0.9153,3.479595770037684e-18,44
SPTLC2,0.9151,3.636090671991323e-18,44
MAGEA4,0.9151,3.596628435155073e-18,44
KDM3A,0.915,3.720489360138131e-18,44
KRT23,0.915,3.6869162514890344e-18,44
EPDR1,0.9148,3.852249552904258e-18,44
ATP2B1,0.9146,4.080538404000555e-18,44
MOXD1,0.9145,4.180551539351462e-18,44
GZMA,0.9143,4.3277340811247684e-18,44
ZAP70,0.9141,4.617337983975448e-18,44
PPM1H,0.914,4.637019236793707e-18,44
SLC7A8,0.9139,4.7723077728713264e-18,44
PAX9,0.9139,1.8049727499646794e-08,20
ECT2,0.9137,4.9764892746401704e-18,44
LRRC15,0.9136,5.181594451835067e-18,44
KRT16,0.9135,5.267349741886102e-18,44
AOAH,0.9134,5.362049230027769e-18,44
PRXL2A,0.9134,5.322039105883918e-18,44
CD274,0.9133,5.499348461733999e-18,44
POMK,0.9131,5.8190682895040046e-18,44
IL1RAP,0.913,5.854280363222577e-18,44
IFIT1,0.913,5.914798218275082e-18,44
SDCBP2,0.9129,6.048317144434911e-18,44
IRF4,0.9128,6.211027370656246e-18,44
PGM2L1,0.9126,6.4162696222672956e-18,44
LAD1,0.9126,6.434470617860714e-18,44
ARHGEF28,0.9126,6.4162696222672956e-18,44
AHSA1,0.9125,6.677137723758964e-18,44
TPX2,0.9123,6.957874902760224e-18,44
WIPF1,0.9122,7.071274296727733e-18,44
VSNL1,0.912,7.411567349067458e-18,44
SLAMF7,0.912,4.567221664946586e-17,42
CAMK4,0.912,7.49803764148957e-18,44
SRSF12,0.9118,1.7338217972705552e-15,38
PTPN7,0.9117,7.973719494791384e-18,44
MRC1,0.9115,8.378623003944157e-18,44
LY6D,0.9112,8.984562855699217e-18,44
TALDO1,0.9109,9.506648244091367e-18,44
VCAM1,0.9109,9.5893602570176e-18,44
PPME1,0.9108,9.827713488028345e-18,44
GPI,0.9108,9.659070554010022e-18,44
ZNF280C,0.9107,1.0043210293733989e-17,44
CMPK2,0.9105,1.0532209102419477e-17,44
PARVG,0.9104,1.0700164290040153e-17,44
TPD52L1,0.9104,1.071532801794448e-17,44
SOX6,0.9104,6.743245306456518e-10,24
GAMT,0.9103,1.0964626878072534e-17,44
PI3,0.9103,1.0870656369338682e-17,44
KIAA1211L,0.9102,1.1154894769906902e-17,44
TAP1,0.9101,1.1316234236718409e-17,44
ACP3,0.9101,1.1332263826644382e-17,44
ARHGAP26,0.9099,1.2051766121456065e-17,44
CD2,0.9098,1.2138234464207324e-17,44
CAPNS2,0.9095,1.312810447982537e-17,44
IFI6,0.9094,1.1368570854103799e-08,21
TXNRD1,0.9094,1.3468239775575152e-17,44
RALGAPA2,0.9094,1.3449196258497013e-17,44
TACC1,0.909,1.4684648499811584e-17,44
DBN1,0.909,1.4663895699146095e-17,44
CYP27A1,0.9089,1.4872668787948205e-17,44
MARK1,0.9089,1.491480705173347e-17,44
SOWAHC,0.9087,1.5714212679719068e-17,44
CNTN1,0.9085,1.620863096594099e-17,44
SEPTIN1,0.9082,1.7509987643271083e-17,44
NAV1,0.9082,1.7387817901173995e-17,44
VTCN1,0.908,1.833770124350869e-17,44
EFHD1,0.9079,1.862175114282703e-17,44
EPS8,0.9079,1.846614323505761e-17,44
JAG1,0.9078,1.8778607835195847e-17,44
TRIO,0.9078,1.8936722833202697e-17,44
FUBP3,0.9069,2.309590841923535e-17,44
SH2D4A,0.9068,2.35779858300243e-17,44
BCAS1,0.9068,2.341626060042018e-17,44
AKR1C1,0.9068,2.35779858300243e-17,44
PLS1,0.9067,2.4304030508275854e-17,44
PIK3AP1,0.9065,2.5259250234098164e-17,44
CLDN3,0.9065,1.4360079381556983e-16,42
SLC1A4,0.9065,2.491517353990635e-17,44
TGM1,0.9065,1.4360079381556983e-16,42
GIMAP4,0.9065,2.4950380386091164e-17,44
LAMB3,0.9063,2.6430164556163762e-17,44
EGFR,0.9063,2.6392828996483723e-17,44
CYP4F11,0.9058,2.912544203862092e-17,44
INPP5D,0.9058,2.912544203862092e-17,44
ARHGAP15,0.9055,3.117895125491804e-17,44
STK39,0.9055,3.093329420887656e-17,44
SP100,0.9053,3.217036384995817e-17,44
UBE2L6,0.9052,3.309814501994726e-17,44
TRAC,0.9052,1.4584822239862172e-14,37
NCCRP1,0.9051,3.3822395677318877e-17,44
STON2,0.9051,3.409921567257666e-17,44
ESRP2,0.9051,3.3822395677318877e-17,44
ICAM2,0.905,3.4561587045173585e-17,44
ALPL,0.905,3.4893403504541346e-17,44
FADS2,0.9043,4.0407116766273275e-17,44
TGM2,0.9043,3.981506985223356e-17,44
UBA7,0.904,4.2859779993368913e-17,44
AIM2,0.9036,3.880504128799778e-06,15
SH2D1A,0.9035,4.687090968042517e-17,44
S100A14,0.9034,4.787729445180306e-17,44
CNN1,0.9034,4.858235775155444e-17,44
KIF15,0.9034,4.8650939632105604e-17,44
EPHX1,0.9032,5.0092716415740904e-17,44
KLF5,0.9031,5.1502224086804175e-17,44
GGT6,0.903,0.0003436121977632824,10
PSAT1,0.9029,5.4154570662791244e-17,44
TMEM154,0.9028,3.008704924401227e-16,42
PYHIN1,0.9024,5.907593056988826e-17,44
TNS4,0.9024,5.907593056988826e-17,44
OVOL2,0.9023,2.4445741031329666e-05,13
SMC2,0.9023,6.049871653722312e-17,44
MYO5C,0.9022,6.169270810832971e-17,44
KIAA1522,0.9022,6.169270810832971e-17,44
CD27,0.9021,6.308639190451303e-17,44
INPP4A,0.9021,6.30314599632041e-17,44
GSR,0.9018,6.691919072863087e-17,44
CDH11,0.9017,6.788746208992978e-17,44
FLI1,0.9016,7.041612961026766e-17,44
OASL,0.9016,7.021792404331335e-17,44
SHISA2,0.9016,7.021792404331335e-17,44
UBAP2,0.9015,7.179366551818124e-17,44
CD79A,0.9013,7.435495314706054e-17,44
NLN,0.9013,7.4085982176287e-17,44
TACSTD2,0.9012,7.65090617887838e-17,44
EFNB1,0.9012,7.601862164728654e-17,44
DHRS9,0.9012,7.542472181504829e-17,44
SDR16C5,0.9012,7.542472181504829e-17,44
SAMD9,0.9009,8.036505146079828e-17,44
KIF16B,0.9008,8.238777623065266e-17,44
RRM2,0.9008,8.238777623065266e-17,44
PRODH,0.9007,8.36845730233359e-17,44
CYP2S1,0.9007,8.344925647273082e-17,44
KIF21A,0.9005,8.763549785914161e-17,44
THEMIS,0.9004,9.002534664411827e-17,44
KRT6B,0.9003,9.085609583200418e-17,44
IRF8,0.9002,9.260690052373597e-17,44
FABP6,0.9,5.171453884868784e-16,42
IKZF3,0.9,9.613547576761823e-17,44
HDAC4,0.8999,9.812003560418615e-17,44
SLC12A6,0.8998,9.972045823549479e-17,44
NOL3,0.8998,1.0028435005808539e-16,44
STON1,0.8998,1.0028435005808539e-16,44
ALDH1L1,0.8995,1.0742705137346991e-16,44
COMP,0.8995,1.0593128149441139e-16,44
AASS,0.8994,1.0909633524071257e-16,44
GALNT5,0.8994,1.0963102393601766e-16,44
PLCB3,0.8992,1.132190385280827e-16,44
PTK2B,0.8992,1.128260014529187e-16,44
ALDH3A2,0.8991,1.1465095999563104e-16,44
DKK1,0.899,3.4881547543983305e-11,29
CARD6,0.8989,1.195524905641565e-16,44
FKBP10,0.8988,1.237010196727679e-16,44
RAB27B,0.8987,1.252570760695289e-16,44
DCP1B,0.8987,1.2561011704250787e-16,44
RDH10,0.8986,1.2878631631839753e-16,44
SEMA4B,0.8985,1.2977454437776548e-16,44
PTK7,0.8979,1.4607190166595019e-16,44
APBB1,0.8978,1.5015425249277594e-16,44
DIPK2A,0.8978,1.4994313280491244e-16,44
ARHGAP4,0.8978,1.494384988399008e-16,44
AIF1,0.8977,1.5108528802813998e-16,44
IMPA2,0.8975,1.5962590429483693e-16,44
TBC1D4,0.8975,1.5909201117809503e-16,44
SIAH2,0.8973,1.642086277790191e-16,44
DLG1,0.8973,1.6452775934794502e-16,44
HCK,0.8972,1.6679768086094442e-16,44
WDFY4,0.8972,1.6735444177673716e-16,44
MELTF,0.897,1.7460974492261226e-16,44
S100A16,0.8969,1.7834850133514795e-16,44
RNF168,0.8968,1.796957216581953e-16,44
PLD1,0.8968,1.830226737391413e-16,44
THEM6,0.8967,1.8466281313279674e-16,44
ARFGEF3,0.8967,1.8631685804712448e-16,44
GPHN,0.8966,1.894932685951958e-16,44
TOP2A,0.8966,1.86669279451142e-16,44
IGF2BP1,0.8966,1.8693195547786788e-16,44
BTN3A3,0.8961,2.0557309082458782e-16,44
IL33,0.896,2.0964303504468716e-16,44
IVL,0.896,2.0964303504468716e-16,44
MICALL1,0.8959,2.1730701515723624e-16,44
RCN3,0.8959,2.176123498887084e-16,44
AKR1C2,0.8959,2.166971366843981e-16,44
ATP7A,0.8958,2.2159651405827085e-16,44
FXR1,0.8956,2.276532712378573e-16,44
PRSS8,0.8956,2.2903084380561784e-16,44
SNCG,0.8956,2.30092479172577e-16,44
KRT6A,0.8956,2.30092479172577e-16,44
FST,0.8955,2.318092663655696e-16,44
EPS8L2,0.8954,2.3846408312872425e-16,44
GBP2,0.8952,2.471250064869463e-16,44
FGFR2,0.8951,1.2852104704340784e-15,42
TNFSF10,0.8951,2.5126194464780053e-16,44
TAGLN,0.8949,2.6155853393449053e-16,44
MARCKSL1,0.8946,2.779507873920416e-16,44
ODC1,0.8945,1.5798308486800476e-05,14
CRYBG2,0.8945,1.442662354765484e-15,42
IL36RN,0.8945,1.3976216999415167e-10,28
IRF6,0.8944,2.8585674535980677e-16,44
SPTBN2,0.8944,2.8756345484387965e-16,44
NAPRT,0.8943,2.9100531833500126e-16,44
ABCF3,0.8942,2.98843050443872e-16,44
LCP1,0.8942,2.9531398224276487e-16,44
HCLS1,0.8941,3.050662535790397e-16,44
PPFIBP1,0.894,3.091385141350921e-16,44
OSBPL6,0.8939,3.174379800117193e-16,44
RAB38,0.8938,3.2166641792662067e-16,44
TMEM40,0.8938,3.1932128450805006e-16,44
WAS,0.8938,3.2402795498151387e-16,44
FBN2,0.8937,1.668309467969097e-15,42
SORD,0.8936,3.3317273180106943e-16,44
SERPINB13,0.8935,3.3911957376025756e-16,44
FOSL1,0.8932,4.287496572185269e-09,24
HLTF,0.8932,3.5637077390000937e-16,44
SYTL1,0.8928,3.901206285654464e-16,44
RASAL3,0.8928,3.901206285654464e-16,44
GRAP2,0.8926,3.9934332318668236e-16,44
GSPT2,0.8925,4.110694716533059e-16,44
ANTXR2,0.8922,4.3499311623301393e-16,44
SBNO1,0.8922,4.3117472003016313e-16,44
CORO1A,0.8922,4.2996782722391546e-16,44
TENT5C,0.8921,4.3752616491758734e-16,44
GMPS,0.8921,4.438773501299645e-16,44
TMEM17,0.892,6.404410364558425e-13,35
CTSK,0.8919,4.582111143508236e-16,44
TREX1,0.8919,4.608711471482579e-16,44
KRT5,0.8919,4.562044948418999e-16,44
SERPINB9,0.8918,4.615180508381156e-16,44
ALDH3A1,0.8915,4.945552144667444e-16,44
SLC43A1,0.8912,3.071211588654178e-07,19
PLEKHA6,0.8911,5.29003639029856e-16,44
CAMSAP3,0.891,5.389436433518258e-16,44
LYNX1,0.8909,0.00023345817037873182,11
EPHB2,0.8907,5.747047636044624e-16,44
GZMH,0.8906,5.77186845868633e-16,44
CALHM5,0.8906,5.77186845868633e-16,44
DENND3,0.8903,6.179297810505712e-16,44
KIF18B,0.8903,1.277638185271966e-08,23
SRXN1,0.8902,6.276806737120583e-16,44
SASH3,0.8902,6.205849072688546e-16,44
COL12A1,0.8902,6.241234303905553e-16,44
ROBO1,0.8901,6.330284950651881e-16,44
NNMT,0.8901,6.402584775513985e-16,44
DPYSL2,0.89,6.439021403436848e-16,44
ABAT,0.89,6.439021403436848e-16,44
ARHGEF6,0.8899,6.577086524169896e-16,44
NHS,0.8899,6.614461591315094e-16,44
STIM2,0.8899,6.633010140077419e-16,44
RALB,0.8898,6.727772875543804e-16,44
ANKRD22,0.8897,6.871720429919998e-16,44
CASP10,0.8896,6.930046744162422e-16,44
IRS1,0.8895,7.128439610976451e-16,44
HERC6,0.8894,3.5413503952441286e-15,42
MYO1G,0.8892,7.414925992786424e-16,44
SPRR1A,0.889,7.689686691748755e-16,44
ARHGAP18,0.8889,7.920542429118517e-16,44
DDX39A,0.8888,7.998615821426654e-16,44
CALB2,0.8887,8.2141490598126435e-16,44
CIAPIN1,0.8886,8.260215225298228e-16,44
F13A1,0.8885,8.458725926594505e-16,44
IGFBP7,0.8885,8.517988927235979e-16,44
KHDRBS3,0.8885,8.446887348318248e-16,44
CD19,0.8883,2.2132441106927638e-13,37
KRT15,0.8883,8.722326166718682e-16,44
FANCD2,0.8883,8.759020693921248e-16,44
CGAS,0.8883,8.783344838580486e-16,44
APOBEC3B,0.888,9.285964146980844e-16,44
EIF2AK2,0.8879,9.33764612652159e-16,44
ZHX2,0.8878,9.5081070510648e-16,44
SYNE2,0.8878,9.574348900225125e-16,44
CEMIP,0.8877,9.76152240378462e-16,44
STEAP4,0.8876,9.89780731547595e-16,44
DGKA,0.8874,1.0246495740461897e-15,44
SAMD9L,0.8872,1.0664615376093946e-15,44
EPN3,0.8872,1.0723488732745101e-15,44
FAT1,0.8872,1.0723488732745101e-15,44
DOK3,0.8871,1.093247897567728e-15,44
PRKCB,0.8871,1.0857324983882055e-15,44
TDRD7,0.8869,1.1330382191688458e-15,44
MSI1,0.8868,5.524789512067939e-15,42
TRANK1,0.8868,1.1408648278835756e-15,44
DSC2,0.8868,1.1408648278835756e-15,44
UMPS,0.8868,1.1424615726220395e-15,44
ARHGAP9,0.8866,1.18394207272114e-15,44
SMS,0.8865,1.2019963465799784e-15,44
SCD5,0.8865,1.2152088383699878e-15,44
CHD6,0.8864,1.230427820617429e-15,44
RRAD,0.8864,1.221865464783856e-15,44
CLDN1,0.8862,1.2747578636113161e-15,44
IL18,0.8861,1.299379079731973e-15,44
PRTFDC1,0.886,1.3064677038990909e-15,44
WNT9A,0.886,9.16398002778624e-08,21
SERPINH1,0.8859,1.346425650730861e-15,44
KIAA1671,0.8859,1.3316691158748595e-15,44
PPP1R9A,0.8859,1.3462138813531194e-15,44
TMEM38A,0.8859,4.954782996658545e-06,16
GNAI1,0.8859,1.3391292634349265e-15,44
DAPL1,0.8858,1.3535413635293075e-15,44
CSPG4,0.8858,1.3721408329854576e-15,44
ABCB6,0.8858,1.3535413635293075e-15,44
ANTXR1,0.8858,1.3592295742559603e-15,44
B4GALT5,0.8857,7.13193953687322e-13,36
SPC24,0.8857,1.3815316363914703e-15,44
GLTP,0.8857,1.375981327506914e-15,44
MACROD1,0.8856,1.4214442541968407e-15,44
TNKS1BP1,0.8856,1.415749562822047e-15,44
BCL11B,0.8854,1.458630882375038e-15,44
CCDC8,0.8852,1.5069419990365707e-15,44
GBP1,0.8852,1.5069419990365707e-15,44
MEGF9,0.8852,1.5211535587479257e-15,44
CACNA2D1,0.8851,1.5502638515755777e-15,44
HSPA2,0.885,1.5608111490918057e-15,44
ENAH,0.885,1.569232630617112e-15,44
EPHA4,0.8849,1.5799026926882924e-15,44
CERS4,0.8849,1.5969817498259558e-15,44
HTATIP2,0.8847,1.6385122876917844e-15,44
SAMD4A,0.8847,1.63622420785062e-15,44
GBP5,0.8846,1.667417838096942e-15,44
IQGAP2,0.8845,1.7174635476041062e-15,44
ALDH1A2,0.8845,1.6924611041540617e-15,44
XPOT,0.8844,1.7198648721547426e-15,44
CMSS1,0.8841,1.8392681599333925e-15,44
ABCA12,0.8841,4.46400681788461e-10,28
RNMT,0.884,1.849095074600865e-15,44
MYO1F,0.8839,1.8741221702748847e-15,44
COLEC12,0.8839,1.9042782484731425e-15,44
LPCAT1,0.8838,1.927322060011276e-15,44
VAV1,0.8838,1.912268790803784e-15,44
GAS7,0.8837,1.9533552343531486e-15,44
SCD,0.8837,1.9402970486333858e-15,44
CXCL14,0.8837,1.947906520813385e-15,44
GPC6,0.8837,1.950629615066036e-15,44
ADAMTS16,0.8837,2.045818122644167e-12,35
KRT14,0.8836,1.995258283310176e-15,44
ERMP1,0.8836,1.98470515424776e-15,44
CENPF,0.8835,2.0086678886509405e-15,44
BTK,0.8834,2.0465545975816574e-15,44
ANXA1,0.8834,2.0465545975816574e-15,44
ECHDC3,0.8834,2.043698021267387e-15,44
PARD6G,0.8832,2.127339639372379e-15,44
OCLN,0.8832,2.1356252620898022e-15,44
CTSH,0.8831,2.1727450694698943e-15,44
POU2F2,0.883,2.2135600173629425e-15,44
TBXAS1,0.8828,2.27896295161538e-15,44
SIPA1L2,0.8827,2.321666684149303e-15,44
NDRG4,0.8826,2.34618653754775e-15,44
BST2,0.8826,2.3651295766843e-15,44
CDCP1,0.8826,2.343683888445026e-15,44
TEDC1,0.8824,2.7772703379585782e-06,17
TDRKH,0.8824,2.4347568735722362e-15,44
CPE,0.8824,2.4347568735722362e-15,44
HLA-F,0.8823,2.4932379655436836e-15,44
BCAR3,0.8823,2.4897608753174856e-15,44
ICAM1,0.8823,2.4897608753174856e-15,44
MAP7,0.8821,2.5834576554006096e-15,44
