gene,spearman_r,p_value,n_samples
FCGR3B,0.9758,1.467546187404219e-06,10
MYO7B,0.9687,1.73199620989547e-10,17
SCEL,0.9632,5.740995055041282e-10,17
NCAPG,0.9544,3.3689919520533295e-08,15
PRR36,0.9544,1.7882674752900224e-05,10
SERPINB2,0.9534,3.2849947662852595e-09,17
EIF1AY,0.9522,6.254560213027754e-06,11
PCSK1,0.951,4.791756848318356e-09,17
PLEKHG3,0.9479,7.516422819501097e-09,17
PPY,0.9461,9.653942434819036e-09,17
NGFR,0.9441,3.933929195107232e-08,16
TRIM29,0.9436,1.337737870631074e-08,17
IGF2BP3,0.943,1.4546059419297021e-08,17
PRG4,0.9387,2.4643824516216645e-08,17
PADI1,0.9381,2.6624083636375136e-08,17
MX1,0.9363,3.2834187890278815e-08,17
KIAA1324,0.9363,3.2834187890278815e-08,17
FKBP10,0.9344,4.060131453194788e-08,17
A2ML1,0.9341,2.9987037500995776e-06,13
SNCG,0.9338,4.326326987473776e-08,17
SFRP1,0.9338,4.326326987473776e-08,17
FAM83B,0.9338,4.326326987473776e-08,17
NLRP2,0.9321,4.241218231543346e-07,15
MMP12,0.9294,1.9401189481036708e-07,16
MYH11,0.9289,7.287799106752726e-08,17
MZB1,0.9283,7.792950972682709e-08,17
P4HA1,0.9265,9.329882323638342e-08,17
PYGL,0.9246,1.1216939192511986e-07,17
PPP1R14C,0.9241,2.3413748836816068e-06,14
PPL,0.924,1.1844905443995688e-07,17
COL17A1,0.924,1.1844905443995688e-07,17
TFF1,0.9234,1.2613497549935679e-07,17
ESRP1,0.9234,1.2613497549935679e-07,17
CHGA,0.9216,1.4920818798127225e-07,17
HCK,0.9216,1.4920818798127225e-07,17
PLA2G7,0.9216,7.586996864752339e-06,13
CTSK,0.9191,1.8658128185388503e-07,17
CXCL17,0.9182,6.661451941355569e-05,11
RRM2,0.9179,1.4176968515006277e-06,15
ANLN,0.9176,9.906225317564692e-06,13
SEC14L2,0.9176,5.528654958744469e-07,16
CDA,0.9172,2.206091629760203e-07,17
APOBEC2,0.9167,2.317116555636976e-07,17
CD300A,0.9161,2.8428045348547132e-05,12
C19orf33,0.9148,2.7262742927497936e-07,17
DUOX2,0.9142,2.858943567903163e-07,17
LMOD1,0.9118,3.505903979519957e-07,17
AHNAK2,0.9111,3.702285112988363e-07,17
VSNL1,0.9093,4.274417714447827e-07,17
GPD1,0.9093,4.274417714447827e-07,17
INPP5D,0.9093,4.274417714447827e-07,17
SPRR1B,0.9088,1.1005852200187758e-06,16
CRABP2,0.9086,4.50751295303179e-07,17
CDCP1,0.9069,5.18287251035079e-07,17
LMO7,0.9069,5.18287251035079e-07,17
GBP4,0.9069,5.18287251035079e-07,17
COL11A1,0.9069,5.18287251035079e-07,17
MMP14,0.9044,6.251789855978926e-07,17
COPG2,0.9044,6.251789855978926e-07,17
ERAP2,0.9044,6.251789855978926e-07,17
NDRG2,0.9044,6.251789855978926e-07,17
MUC16,0.9036,3.880504128799778e-06,15
S100A3,0.9036,3.880504128799778e-06,15
AQP5,0.903,0.0003436121977632824,10
GRHL2,0.9021,1.7739271127466921e-06,16
AGFG2,0.902,7.50399890111991e-07,17
RASA1,0.9018,7.570232719570407e-07,17
ACACB,0.9013,7.883241312155195e-07,17
LYPD3,0.9011,2.6138622029548244e-05,13
DUOXA2,0.9,4.871970948735605e-06,15
TNS4,0.9,2.0510898633788993e-06,16
REG4,0.8995,8.964818375507003e-07,17
KRT6A,0.8995,8.964818375507003e-07,17
SERPINB3,0.8995,8.964818375507003e-07,17
VIL1,0.8995,8.964818375507003e-07,17
IGHA2,0.8976,1.0259084786722702e-06,17
PGD,0.8971,1.0662246540443243e-06,17
RBP1,0.8971,1.0662246540443243e-06,17
HID1,0.8971,1.0662246540443243e-06,17
WNT11,0.8956,3.4809729944820894e-05,13
VSIG2,0.8955,1.4966899569390397e-05,14
OGFOD1,0.8951,8.366586429091718e-05,12
PTK7,0.8946,1.2627159184388534e-06,17
ITGAX,0.8946,1.2627159184388534e-06,17
NCF2,0.8946,1.2627159184388534e-06,17
SIGLEC1,0.8946,1.2627159184388534e-06,17
MYEF2,0.8938,1.3337834945056531e-06,17
GNG7,0.8933,3.169966460918544e-06,16
LGALS4,0.8927,1.4359568620607963e-06,17
SCGN,0.8922,1.4893515661379575e-06,17
CALB2,0.8922,1.4893515661379575e-06,17
EPB41L4B,0.8915,1.5579686090973587e-06,17
CTTNBP2NL,0.8908,1.6293207583200943e-06,17
KIF13B,0.8897,1.7498572958917122e-06,17
AHCYL2,0.8897,1.7498572958917122e-06,17
FAM3D,0.8897,1.7498572958917122e-06,17
GFRA1,0.8893,9.192974758842262e-06,15
CPLX2,0.8893,9.192974758842262e-06,15
PBLD,0.8883,1.9107037385761344e-06,17
MYH14,0.8873,2.048310776987618e-06,17
CDK1,0.8866,2.138708631729586e-06,17
APOBR,0.8866,2.138708631729586e-06,17
RTN1,0.8859,2.232559639977411e-06,17
HSD17B2,0.8829,2.6872530722835728e-06,17
NBEA,0.8824,2.7772703379585782e-06,17
CERCAM,0.8824,6.095619569194933e-06,16
DESI1,0.8818,0.0003301688021839006,11
SDR16C5,0.8817,2.8949074996681487e-06,17
MACC1,0.8815,6.385654218588428e-06,16
BCAS1,0.8799,3.2179025965727305e-06,17
GAN,0.8799,3.2179025965727305e-06,17
HK3,0.8799,3.2179025965727305e-06,17
SCG3,0.8799,3.2179025965727305e-06,17
DHRS9,0.8799,3.2179025965727305e-06,17
CACNA2D2,0.8794,7.187273041770846e-06,16
ARRB2,0.8792,3.3515229604792507e-06,17
ASPA,0.8792,3.3515229604792507e-06,17
CMBL,0.8792,3.3515229604792507e-06,17
PKIB,0.8791,7.544562359359131e-05,13
VWA5B2,0.8791,7.544562359359131e-05,13
CHST11,0.8788,0.0008138621117322101,10
HERC6,0.8788,0.0008138621117322101,10
AMPH,0.8786,1.631528028654429e-05,15
CLDN3,0.878,3.601949696625986e-06,17
SULF2,0.8775,3.7167849051590227e-06,17
SFRP4,0.8775,3.7167849051590227e-06,17
PDZK1,0.8775,3.7167849051590227e-06,17
A1CF,0.8775,3.7167849051590227e-06,17
FN1,0.8775,3.7167849051590227e-06,17
PPP1R1A,0.8768,3.86814937004239e-06,17
TMEM119,0.8768,3.86814937004239e-06,17
PLCB4,0.8768,3.86814937004239e-06,17
MISP,0.875,4.280115581127819e-06,17
ARFIP2,0.875,4.280115581127819e-06,17
SST,0.875,4.280115581127819e-06,17
SPRR3,0.875,4.280115581127819e-06,17
UCN3,0.875,1.9522613815941113e-05,15
SLIT3,0.875,4.280115581127819e-06,17
S100A16,0.875,4.280115581127819e-06,17
LNX1,0.875,1.9522613815941113e-05,15
USP9X,0.8747,4.354924305159743e-06,17
SDCBP2,0.8743,4.451134673121766e-06,17
FLNB,0.8743,4.451134673121766e-06,17
PHKA1,0.8736,9.528897290370499e-05,13
MYH10,0.8731,4.769634519419489e-06,17
SULT1E1,0.8727,0.00045461505140964023,11
GALNT10,0.8725,4.914594673940114e-06,17
SEPTIN1,0.8725,4.914594673940114e-06,17
NPNT,0.8725,4.914594673940114e-06,17
AKAP7,0.8719,5.107337482321689e-06,17
SMOC1,0.8719,5.107337482321689e-06,17
TCEA3,0.8719,5.107337482321689e-06,17
DGKA,0.8712,5.3066306962549016e-06,17
ITGAM,0.8706,5.465185263467977e-06,17
CAPN6,0.8706,1.1498934802741624e-05,16
PLAC9,0.8701,5.627451606306428e-06,17
ITPR3,0.8701,5.627451606306428e-06,17
CHGB,0.8701,5.627451606306428e-06,17
AGR3,0.8701,5.627451606306428e-06,17
ASRGL1,0.8701,5.627451606306428e-06,17
SEMA4B,0.8701,5.627451606306428e-06,17
BIN2,0.8701,5.627451606306428e-06,17
ADIRF,0.8701,5.627451606306428e-06,17
GRAP2,0.8701,5.627451606306428e-06,17
MSLN,0.8694,5.844155013649568e-06,17
MAPKAPK3,0.8682,6.245260245966811e-06,17
MCF2L,0.8676,6.4264735542336725e-06,17
PDE5A,0.8676,6.4264735542336725e-06,17
MAGED1,0.867,6.669551760215812e-06,17
COL8A1,0.8652,7.3200345533980586e-06,17
SCYL2,0.8652,7.3200345533980586e-06,17
SMOC2,0.8652,7.3200345533980586e-06,17
WDFY4,0.8652,7.3200345533980586e-06,17
MEAK7,0.8645,7.59208889121134e-06,17
KIAA1522,0.8645,7.59208889121134e-06,17
SLC1A4,0.8633,8.092631015485837e-06,17
HEPH,0.8627,8.317125318327613e-06,17
CEACAM7,0.862,8.62095436230928e-06,17
STAT1,0.862,8.62095436230928e-06,17
PTGS2,0.862,8.62095436230928e-06,17
UBASH3B,0.8618,1.780518441981504e-05,16
UCK2,0.8616,1.7978579836079436e-05,16
NUFIP2,0.8614,8.934407923486486e-06,17
CDH3,0.8608,9.178310415850606e-06,17
CAPN5,0.8603,9.427383759906573e-06,17
ITGA7,0.8603,9.427383759906573e-06,17
KRT23,0.8603,9.427383759906573e-06,17
ADH1A,0.8601,0.000331668339126921,12
TNFRSF12A,0.8593,8.200994666805763e-05,14
MARCO,0.8578,1.0661126185774085e-05,17
ELMO1,0.8578,1.0661126185774085e-05,17
CTSE,0.8571,1.1037741602807072e-05,17
NFIA,0.8564,1.1425897475954629e-05,17
CD55,0.8559,1.1724619629573562e-05,17
HPGD,0.8554,1.2029379167269171e-05,17
LAMB3,0.8554,1.2029379167269171e-05,17
C5orf51,0.8554,1.2029379167269171e-05,17
MYO5B,0.8547,1.2447453866587103e-05,17
STAT2,0.854,1.2878134064875047e-05,17
LAD1,0.8529,1.3543912055682996e-05,17
CLINT1,0.8529,1.3543912055682996e-05,17
KLK7,0.8529,2.679074057724726e-05,16
ALDH3A1,0.8529,1.3543912055682996e-05,17
PCSK2,0.8529,1.3543912055682996e-05,17
SH3PXD2A,0.8529,1.3543912055682996e-05,17
SOAT1,0.8515,1.4484115691213647e-05,17
RPS4Y1,0.851,1.4847191523005024e-05,17
AOC3,0.851,1.4847191523005024e-05,17
TTC9,0.8505,1.5217270129720003e-05,17
FERMT1,0.8505,1.5217270129720003e-05,17
C15orf48,0.8505,1.5217270129720003e-05,17
UBE2L6,0.8505,1.5217270129720003e-05,17
S100P,0.8505,1.5217270129720003e-05,17
AVL9,0.8505,1.5217270129720003e-05,17
GPCPD1,0.8505,1.5217270129720003e-05,17
CADPS,0.8505,1.5217270129720003e-05,17
TIPRL,0.8501,1.548070132213316e-05,17
PCSK1N,0.8498,1.572959858741448e-05,17
COLEC11,0.8498,1.572959858741448e-05,17
BTK,0.8482,1.69586384328973e-05,17
GRB10,0.848,1.706280835522461e-05,17
ACSS1,0.848,1.706280835522461e-05,17
GNG2,0.848,1.706280835522461e-05,17
SCUBE3,0.8473,1.7628447248443617e-05,17
RHPN2,0.8473,1.7628447248443617e-05,17
SH3GL2,0.8462,0.00026601205575225306,13
CIT,0.8462,0.00026601205575225306,13
SPINK1,0.8461,1.864850703725683e-05,17
TFF2,0.8461,1.864850703725683e-05,17
ARHGEF6,0.8461,1.864850703725683e-05,17
FYB1,0.8456,1.909472573742939e-05,17
DDX3Y,0.8456,1.909472573742939e-05,17
SH2D1A,0.8456,1.909472573742939e-05,17
ARHGAP4,0.8456,1.909472573742939e-05,17
PLOD2,0.8456,1.909472573742939e-05,17
CES1,0.8456,1.909472573742939e-05,17
GSTM3,0.8449,1.971816136146086e-05,17
COLGALT1,0.8449,1.971816136146086e-05,17
ARHGEF2,0.8437,2.0839359134601396e-05,17
NEXN,0.8431,2.132810024519339e-05,17
ACSL5,0.8431,2.132810024519339e-05,17
TCL1A,0.8429,7.96719525272486e-05,15
CR2,0.8424,0.002220031225916843,10
PTPN22,0.8424,0.002220031225916843,10
TRIP13,0.8424,0.002220031225916843,10
XDH,0.8424,2.2014107206814e-05,17
SRGN,0.8418,0.00015973775917452895,14
IFIT3,0.8412,2.3244471494133283e-05,17
VWA5A,0.8412,2.3244471494133283e-05,17
CENPV,0.8407,2.377892428594587e-05,17
TFF3,0.8407,2.377892428594587e-05,17
DNM1,0.8407,0.0003190712406937145,13
OSBPL3,0.8405,2.3983583737999063e-05,17
RNASET2,0.84,2.4532578115815587e-05,17
COLEC12,0.84,2.4532578115815587e-05,17
TRPS1,0.8393,9.136935846519936e-05,15
SYT13,0.8392,0.0006428259886278203,12
SERPINB5,0.8387,2.5880614539494718e-05,17
ACOX3,0.8387,2.5880614539494718e-05,17
DYSF,0.8382,2.6464140709327158e-05,17
MMP1,0.8382,2.6464140709327158e-05,17
ITGA5,0.8382,2.6464140709327158e-05,17
RNMT,0.8382,2.6464140709327158e-05,17
HMGCS1,0.8382,2.6464140709327158e-05,17
VGF,0.8382,2.6464140709327158e-05,17
GAS2,0.8375,2.7290830733983788e-05,17
EEPD1,0.8363,2.876554032954193e-05,17
PDE1A,0.8361,0.00019479310082766928,14
COPZ2,0.8358,2.940167931682035e-05,17
GSDMB,0.8358,2.940167931682035e-05,17
PEG10,0.8353,5.637132062814421e-05,16
FABP6,0.8352,0.0003802080801851204,13
CARD11,0.8351,3.030712178541303e-05,17
RER1,0.8338,3.191801956444737e-05,17
GPA33,0.8336,0.00039967048443355385,13
POF1B,0.8333,3.261049385399231e-05,17
ANXA10,0.8333,3.261049385399231e-05,17
DOK3,0.8333,3.261049385399231e-05,17
TPST1,0.833,0.00021655091041647006,14
FER1L6,0.833,6.178635628446644e-05,16
EPS8L1,0.8326,3.3600745314613e-05,17
CGN,0.8326,3.3600745314613e-05,17
MSI1,0.8324,6.328124573232546e-05,16
RAB3C,0.8324,6.328124573232546e-05,16
PGM5,0.8322,3.4176623008615935e-05,17
DCBLD1,0.8321,0.0001190282449384978,15
FCGR2B,0.8316,0.0007983671028551953,12
NPR3,0.8309,3.611059946133302e-05,17
SERPINB8,0.8309,3.611059946133302e-05,17
LOXL2,0.8309,3.611059946133302e-05,17
CDH11,0.8309,3.611059946133302e-05,17
AOC1,0.8309,3.611059946133302e-05,17
HSPB6,0.8309,3.611059946133302e-05,17
PODXL,0.8309,3.611059946133302e-05,17
SFXN5,0.8304,0.00023592137231212874,14
KLK11,0.8297,0.000450286295546213,13
MUC4,0.8294,7.088454064639912e-05,16
XAF1,0.8294,7.088454064639912e-05,16
TNFRSF6B,0.8294,7.088454064639912e-05,16
ALOX5,0.8289,3.910603964587261e-05,17
CCN3,0.8286,0.00013524478013276985,15
PIK3CG,0.8284,3.9923110559053744e-05,17
RIPK1,0.8277,4.110257918470418e-05,17
RC3H2,0.8273,0.0016769738964523809,11
PPP1R1B,0.8265,4.3184554521498515e-05,17
GIMAP8,0.8265,4.3184554521498515e-05,17
ABHD17C,0.8265,7.923548582249701e-05,16
GBP5,0.826,4.407027914063444e-05,17
FBXO2,0.8253,4.535490558747754e-05,17
ZAP70,0.8253,4.535490558747754e-05,17
SASH3,0.8243,4.7069012840907156e-05,17
TOP2A,0.8242,0.0005302228375973589,13
MLKL,0.824,4.7616647945717594e-05,17
LAMC3,0.824,4.7616647945717594e-05,17
AGMAT,0.8235,4.857553344934697e-05,17
GREM1,0.8235,4.857553344934697e-05,17
FABP4,0.8235,4.857553344934697e-05,17
ANXA8,0.8235,8.83913936384215e-05,16
PIP4K2C,0.8228,4.9972874020540454e-05,17
AQP8,0.8227,9.124759915472848e-05,16
TPD52L1,0.8211,5.346351701144895e-05,17
RASAL1,0.8211,5.346351701144895e-05,17
CA13,0.8211,5.346351701144895e-05,17
GPX2,0.8204,5.4981538734920425e-05,17
PPP1R13L,0.8196,5.653701960945326e-05,17
CLYBL,0.8196,5.653701960945326e-05,17
ICAM1,0.8186,5.876012799925572e-05,17
S100A2,0.8186,5.876012799925572e-05,17
SCG5,0.8186,5.876012799925572e-05,17
ISG20,0.8186,5.876012799925572e-05,17
LIMA1,0.8186,5.876012799925572e-05,17
ITGA11,0.8186,5.876012799925572e-05,17
CGNL1,0.8186,5.876012799925572e-05,17
REG1B,0.8186,5.876012799925572e-05,17
PLD1,0.8186,5.876012799925572e-05,17
EFNB1,0.8186,5.876012799925572e-05,17
VILL,0.8184,5.9260816121944295e-05,17
CLEC5A,0.8182,0.003814920082550713,10
PI3,0.8182,0.003814920082550713,10
SEMA7A,0.8179,0.0001951365470631986,15
MYO1E,0.8179,6.040722337796038e-05,17
ANO1,0.8172,6.209444779172521e-05,17
BCAM,0.8162,6.449255889681126e-05,17
CAPRIN1,0.8162,6.449255889681126e-05,17
TXLNG,0.8162,6.449255889681126e-05,17
SCG2,0.8162,6.449255889681126e-05,17
INPP4B,0.8162,6.449255889681126e-05,17
MICAL2,0.8162,6.449255889681126e-05,17
SH2D4A,0.8155,6.62775608648899e-05,17
FSCN1,0.8155,6.62775608648899e-05,17
MAP4K4,0.8155,6.62775608648899e-05,17
BAG2,0.8155,6.62775608648899e-05,17
PLCL2,0.8155,6.62775608648899e-05,17
SFRP5,0.8154,0.00037913223820058227,14
GCHFR,0.8147,0.00012130950572235612,16
PLEKHS1,0.8147,6.810550806434727e-05,17
TJP3,0.8137,7.068933644044633e-05,17
HMGB3,0.8137,7.068933644044633e-05,17
FAP,0.8137,7.068933644044633e-05,17
MAP1A,0.813,7.262153351801183e-05,17
ITSN1,0.813,7.262153351801183e-05,17
TACSTD2,0.813,7.262153351801183e-05,17
CYBB,0.813,7.262153351801183e-05,17
SLC12A2,0.8118,7.598056891854792e-05,17
RCSD1,0.8118,7.598056891854792e-05,17
AFAP1L2,0.8113,7.738036180608988e-05,17
CEACAM5,0.8113,7.738036180608988e-05,17
PIK3AP1,0.8113,7.738036180608988e-05,17
FERMT3,0.8113,7.738036180608988e-05,17
HMGA2,0.8109,0.00013840622604188501,16
MAGI1,0.8105,7.946951344513781e-05,17
CBLC,0.8091,0.002558580199713917,11
SLC4A4,0.8088,8.459695101481672e-05,17
TUBB4A,0.8088,0.0001484755922323442,16
PBX1,0.8088,8.459695101481672e-05,17
TAPBP,0.8088,8.459695101481672e-05,17
SYT7,0.8077,0.0008391600097274252,13
IDNK,0.8071,0.00027524427069541943,15
SIGLEC7,0.8071,0.00027524427069541943,15
HIP1,0.8069,9.075646605257184e-05,17
FGR,0.8066,0.0004911128961691058,14
TNXB,0.8064,9.237187552774259e-05,17
S100A4,0.8064,9.237187552774259e-05,17
CLCA1,0.8064,9.2294928179328e-05,17
HK2,0.8064,9.237187552774259e-05,17
ANTXR1,0.8064,9.237187552774259e-05,17
CRACD,0.8064,9.237187552774259e-05,17
CDH17,0.8064,9.237187552774259e-05,17
GCNT3,0.8064,9.237187552774259e-05,17
PCNX3,0.8061,0.004862061101964607,10
FOLR1,0.8061,0.004862061101964607,10
FBXL6,0.8061,0.004862061101964607,10
OAS3,0.8056,9.480617619511746e-05,17
SAMD4B,0.8049,9.729626169789207e-05,17
MISP3,0.8044,9.9006829339782e-05,17
ARHGEF28,0.8044,9.9006829339782e-05,17
SIPA1L1,0.8044,9.9006829339782e-05,17
GALNT6,0.8039,0.00010073940300106686,17
LPCAT4,0.8039,0.00010073940300106686,17
RIN2,0.8039,0.00010073940300106686,17
MUC5AC,0.8039,0.00010073940300106686,17
FOLR2,0.8039,0.00010073940300106686,17
GUCY1A2,0.8039,0.00010073940300106686,17
NRCAM,0.8039,0.00010073940300106686,17
RGN,0.8037,0.00010159187487488065,17
GPD1L,0.8032,0.00010336291833894804,17
GSTM4,0.8029,0.0001805167946798431,16
LRRC15,0.8021,0.00018577329249156528,16
COQ8B,0.802,0.00010787903439878174,17
CELSR1,0.802,0.00010787903439878174,17
GSE1,0.8018,0.0003242241561708695,15
ERICH5,0.8015,0.00010973533817172511,17
LGALS2,0.8015,0.00010973533817172511,17
IGLC7,0.8015,0.00010973533817172511,17
ANXA3,0.8015,0.00010973533817172511,17
RAB20,0.8015,0.00010973533817172511,17
RASAL2,0.8012,0.00011066284897560823,17
IVD,0.8007,0.00011255986836547557,17
IRF4,0.8,0.0003422698330356914,15
CXCL14,0.7995,0.00011741021201245993,17
MAT1A,0.7995,0.00011741021201245993,17
STAP2,0.799,0.0001193970638438656,17
TAGLN3,0.799,0.0001193970638438656,17
CNN1,0.799,0.0001193970638438656,17
PNP,0.799,0.0001193970638438656,17
KRT7,0.799,0.0001193970638438656,17
AK4,0.7988,0.00012040505277332913,17
CDK2,0.7983,0.00012243495932834727,17
EPB41,0.7983,0.00012243495932834727,17
SLC16A3,0.7983,0.00012243495932834727,17
AKAP8,0.7983,0.00012243495932834727,17
NISCH,0.7983,0.00012243495932834727,17
SH3PXD2B,0.7966,0.00012976358194609737,17
PDZK1IP1,0.7964,0.00038046767853463354,15
GDPD3,0.7964,0.00038046767853463354,15
TAP1,0.7963,0.00013085779641181284,17
SPTBN2,0.7963,0.00013085779641181284,17
C1orf116,0.7961,0.00013195712406229815,17
BACH1,0.7951,0.00013636336129452912,17
SLC30A7,0.795,0.0011604477125239459,13
REG3A,0.7941,0.00014087555462921766,17
HLA-DQB1,0.7941,0.00023919092762563114,16
RNF213,0.7941,0.00014087555462921766,17
PPP4R1,0.7939,0.00014206206257164547,17
FMNL1,0.7934,0.00014437951474198632,17
FRZB,0.7922,0.00015035335796077988,17
HLA-DMA,0.7917,0.0001527753453739639,17
SYTL4,0.7917,0.0001527753453739639,17
ITPKC,0.7917,0.0001527753453739639,17
TSPAN1,0.7917,0.0001527753453739639,17
PLAU,0.7917,0.0001527753453739639,17
KRT16,0.7917,0.0001527753453739639,17
PCIF1,0.7917,0.0001527753453739639,17
AP1S3,0.7912,0.0002619464480824596,16
HPSE,0.7912,0.0012750239017411194,13
SEMA4D,0.7912,0.0012750239017411194,13
HSD11B1,0.7902,0.0001603714441192258,17
PPM1L,0.7902,0.0022231354099909177,12
UBR1,0.7897,0.0001629246487947676,17
HNF4A,0.7896,0.00046295830129639394,15
TNC,0.7892,0.0001655070600781188,17
VAV2,0.7892,0.0001655070600781188,17
FKBP7,0.7892,0.0001655070600781188,17
WASHC4,0.7892,0.0001655070600781188,17
EFHD2,0.7892,0.0001655070600781188,17
CEL,0.7892,0.0001655070600781188,17
KCTD5,0.789,0.0007946144116544936,14
RASSF5,0.7888,0.00028148401729000605,16
AMPD3,0.7885,0.00016953350006305792,17
SAMD9,0.7885,0.00016953350006305792,17
IGLV3-9,0.7882,0.0002864656823918494,16
TRPV2,0.7882,0.0002864656823918494,16
MYLK2,0.7882,0.0002864656823918494,16
ARHGAP25,0.7877,0.00017364516497051787,17
PICALM,0.7872,0.00017636561314511194,17
CFTR,0.7868,0.00017911658809218253,17
IL16,0.786,0.00018342697500761085,17
AGR2,0.786,0.00018342697500761085,17
TRAF1,0.7857,0.0005164547475705881,15
IDO1,0.7857,0.0014541896038438233,13
SULT2B1,0.7857,0.0005164547475705881,15
MPDZ,0.7853,0.00018782761578762177,17
C17orf97,0.7853,0.00031285391788601164,16
BCAR3,0.7853,0.00031285391788601164,16
APOL2,0.7848,0.00019072368897935448,17
GBA2,0.7846,0.0025116023149757017,12
PREX1,0.7843,0.00019365164317268225,17
EPHX2,0.7843,0.00019365164317268225,17
GSTM5,0.7843,0.00019365164317268225,17
PLIN4,0.7843,0.00019365164317268225,17
ARVCF,0.7829,0.0003355052992736486,16
BLVRA,0.7828,0.00020296781687055297,17
LPIN2,0.7828,0.00020296781687055297,17
DENND1B,0.7824,0.0015724478236704695,13
RASIP1,0.7823,0.00020604817604154754,17
GLT8D2,0.7821,0.0005697096277734964,15
PDIA2,0.7819,0.00020916180432210761,17
CA9,0.7819,0.00020916180432210761,17
CTNND1,0.7819,0.00020916180432210761,17
RRP1B,0.7819,0.00020916180432210761,17
CHMP4B,0.7819,0.00020916180432210761,17
NPL,0.7819,0.00020916180432210761,17
SYNPO2,0.7819,0.00020916180432210761,17
ADAMTSL3,0.7819,0.00020916180432210761,17
RNF168,0.7818,0.0075470077810678785,10
PROM2,0.7818,0.004473162252783043,11
PRELP,0.7811,0.0002140887490892689,17
P3H3,0.7811,0.0002140887490892689,17
KIF5C,0.7802,0.0009944938002309496,14
GSTK1,0.7799,0.00022239027670360127,17
TACC1,0.7799,0.00022239027670360127,17
MPP7,0.7794,0.00022569855648436933,17
PLAT,0.7794,0.00022569855648436933,17
ABCB1,0.7794,0.00037168023647875443,16
UNC5B,0.7793,0.0006157591235561683,15
ANTXR2,0.7787,0.00023095946314099724,17
CILP,0.7787,0.00023095946314099724,17
DTX3L,0.7787,0.00023095946314099724,17
PGM3,0.7787,0.00023095946314099724,17
XPO7,0.7784,0.00023288698812482347,17
RAD54L2,0.7776,0.0029101723128612924,12
HCLS1,0.7774,0.0002398031366465251,17
PLCG2,0.777,0.00024331533106465515,17
MYO1B,0.777,0.00024331533106465515,17
CPNE1,0.777,0.00024331533106465515,17
ERO1B,0.777,0.00024331533106465515,17
IGFBP3,0.777,0.00024331533106465515,17
CTSH,0.777,0.00024331533106465515,17
ITGB2,0.777,0.00024331533106465515,17
MRC2,0.7755,0.0002546538586355872,17
PLSCR1,0.775,0.00025834188534022717,17
CD74,0.7745,0.0002620675462425002,17
LAMC2,0.7745,0.0002620675462425002,17
EVPL,0.7745,0.0002620675462425002,17
QPCT,0.7742,0.0007042931140147829,15
PLEK2,0.7738,0.0002680512482800818,17
THEMIS,0.7735,0.00043935565171172104,16
ST6GAL1,0.773,0.00027415386062632494,17
STARD3,0.7727,0.005299487178643862,11
RNF149,0.7727,0.005299487178643862,11
ERO1A,0.7725,0.0002780636762906209,17
HEXD,0.7723,0.001207844312828629,14
SEMA3C,0.7721,0.00028201264704692694,17
GCG,0.7721,0.00028201264704692694,17
WFDC2,0.7721,0.00028201264704692694,17
FDFT1,0.7721,0.00028201264704692694,17
TP53BP1,0.7721,0.00028201264704692694,17
GRB7,0.7721,0.00028201264704692694,17
LBP,0.7721,0.00028201264704692694,17
TRIR,0.7721,0.00028201264704692694,17
HSPH1,0.7721,0.00028201264704692694,17
GGA2,0.7718,0.0002843621552779924,17
VCAM1,0.7718,0.0002843621552779924,17
MYO5A,0.7717,0.005399696456405772,11
ANGPTL4,0.7714,0.0007568751073803476,15
ARMCX1,0.7713,0.0002883866363755239,17
COL5A2,0.7713,0.0002883866363755239,17
OAS2,0.7701,0.0002990277270227117,17
ADAM8,0.7697,0.009221952722215994,10
CLDN18,0.7696,0.0003032101451624918,17
ADH1B,0.7696,0.0003032101451624918,17
EIF2AK4,0.7696,0.0003032101451624918,17
MMP11,0.7696,0.0003032101451624918,17
MET,0.7696,0.0003032101451624918,17
DPYSL4,0.7696,0.0003032101451624918,17
PLOD1,0.7696,0.0003032101451624918,17
NUMB,0.7693,0.0003057331402756425,17
EBP,0.7693,0.0003057331402756425,17
SULF1,0.7689,0.00030999467943717207,17
STK10,0.7676,0.00032129535876846034,17
FKBP9,0.7672,0.0003257216584351613,17
CORO1A,0.7672,0.0003257216584351613,17
SGTB,0.7672,0.0003257216584351613,17
RAB25,0.7672,0.0003257216584351613,17
IQGAP2,0.7672,0.0003257216584351613,17
SFN,0.7672,0.0003257216584351613,17
BZW2,0.7672,0.0003257216584351613,17
SYNE2,0.7672,0.0003257216584351613,17
PLA2G1B,0.7672,0.0003257216584351613,17
MSMO1,0.767,0.0013676823882456158,14
THBD,0.767,0.0013676823882456158,14
CCDC134,0.7664,0.0003329377653326136,17
DOCK8,0.7656,0.0003402930312979284,17
TNFAIP2,0.7652,0.0003449300358282155,17
SPRR1A,0.7649,0.0005563985320541639,16
LPXN,0.7647,0.00034961095004698475,17
TBC1D2,0.7647,0.00034961095004698475,17
REG3G,0.7647,0.00034961095004698475,17
THBS4,0.7647,0.00034961095004698475,17
FHL1,0.7647,0.00034961095004698475,17
CTRC,0.7647,0.00034961095004698475,17
COL1A2,0.7647,0.00034961095004698475,17
REEP6,0.7647,0.00034961095004698475,17
FCHSD2,0.7644,0.0003525128336593881,17
CYTH4,0.7643,0.0009073101116849783,15
